Data;Histórico;Valor;Saldo
01/06/2026;SALDO ANTERIOR;;12.500,00
02/06/2026;PIX RECEBIMENTO VENDA BALCAO;2.350,00;14.850,00
03/06/2026;TARIFA PACOTE SERVICOS;-89,90;14.760,10
05/06/2026;PAGAMENTO DAS SIMPLES NACIONAL;-1.842,33;12.917,77
06/06/2026;TED FORNECEDOR MOINHO BOM TRIGO;-3.200,00;9.717,77
09/06/2026;PIX RECEBIMENTO VENDA BALCAO;1.980,50;11.698,27
10/06/2026;ALUGUEL LOJA CENTRO JUNHO;-4.500,00;7.198,27
12/06/2026;ENERGIA CPFL REF MAIO;-612,44;6.585,83
15/06/2026;FOLHA PAGAMENTO FUNCIONARIOS;-5.830,00;755,83
16/06/2026;TRANSF ENTRE CONTAS PROPRIA;-2.000,00;-1.244,17
18/06/2026;PIX RECEBIMENTO ENCOMENDA FESTA;3.420,00;2.175,83
20/06/2026;UBER VIAGENS ENTREGA;-47,90;2.127,93
23/06/2026;ASSINATURA GOOGLE WORKSPACE;-142,00;1.985,93
25/06/2026;ESTORNO TARIFA COBRADA INDEVID;89,90;2.075,83
27/06/2026;PGTO FATURA CARTAO CREDITO;-1.264,55;811,28
30/06/2026;RENDIMENTO APLIC AUTOMATICA;12,37;823,65
